#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
97b708fc2568fd32659f005d285c8b34	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
be263af94d22db09ac8d65f37b01de55	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Agrobacterium	 
73f5aedeb19f8a0ea76abc791d2ba856	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	
f68868aacd4eef4d7c981b6796ef7cfc	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 	 	 
bc9fd7dc981c92e496b916f753beee0b	Bacteria	 FBP	 	 	 	 	 
874a0b1ca2b21ec158df435110e81583	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Arthrobacter	 psychrolactophilus
76c258398351136964d8eddf9759a2db	Bacteria	 Proteobacteria	 Alphaproteobacteria				
7aac8b5d7638519e5c7ed2c082ea320c	Bacteria	 Acidobacteria	 DA052	 Ellin6513	 	 	 
f78a11b639827cb204f338d85405a8d1	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae		
fb1fbbe91201f85b339665d0276d2640	Bacteria	 Proteobacteria	 Gammaproteobacteria				
47794139ab0a6c0895830a0efb3d4fc8	Bacteria	 Verrucomicrobia	 [Pedosphaerae]	 [Pedosphaerales]	 	 	 
40f0de8d88809a6da9c435eed3753e4c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Rhizobium	 multihospitium
192f1bea358852caa51349e7731da19c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingobium	 
3e278cc786942be4e70004c0eb4416e7	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Microbacteriaceae	 Rathayibacter	 
91c74973b5b4e01c1c4afea7c112082e	Bacteria						
4af03cb482df12a5deef1560d4b96a97	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 	 
ac32a2e84ece928d8cd5777aa7413498	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Leptothrix	 
be9972d8c0b1526144334848f5ce7598	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardioidaceae	 Aeromicrobium	 
b60b3439348533bdfd07b18987da36c4	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 	 	 
d8848708bdcba385fbc25e3cf700ac01	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingobium	 
f1b2da1f53a56dcb0ff5fed9b8b23244	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 	 	 
507bea71411c60a2a40a5def2a957def	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacterineae	 	 
984767f1f586c4c7c59cc395111428fb	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 	 
