#NAME	105_BS	A479_R	A479_RS	B065S_R	B065S_RS	B067H_R	B067H_RS	B074S_R	B074S_RS	B076BH_R	B076BH_RS	B118H_R	B118H_RS	B124H_R	B124H_RS	B456_R	B456_RS	GY_R	GY_RS	H424_R	H424_RS	HB_R	HB_RS	K474_R	K474_RS	NHB_R	NHB_RS	XM_BS	ZJ_BS
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Panacagrimonas;s__perspica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	213	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__;s__	0	0	192	0	0	0	0	0	0	0	20	0	0	0	0	22	188	201	341	21	252	0	0	0	58	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__;s__	236	13	0	72	219	0	153	0	323	0	277	0	277	0	0	0	64	0	423	0	0	0	0	0	0	146	121	618	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	190	0	275	0	103	0	10	0	0	0	358	0	6	0	175	0	338	160	0	0	414	0	44	52	392	134	609	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis;s__	0	19	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	960	0	0	77	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium;s__	0	7	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Erwinia;__	0	90	0	0	71	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	73	464	70	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rubrivivax;s__gelatinosus	0	140	6	0	0	0	0	0	0	0	0	0	44	0	0	0	111	222	0	32	79	0	0	0	0	0	54	45	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__	167	711	0	21	0	0	0	0	140	0	0	0	26	0	161	3	0	30	304	0	0	126	244	0	37	19	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia;s__	0	61	150	0	0	0	0	0	0	0	0	0	0	0	0	473	0	49	71	0	0	22	0	0	0	145	29	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__	334	0	75	0	29	0	137	0	216	0	93	0	0	0	0	0	66	34	548	0	293	56	0	0	202	64	0	1621	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia;s__	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	10	14	13	0	121	22	0	0	0	4
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	134	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__	0	835	18	0	137	0	0	0	0	0	0	0	17	0	0	28	14	59	13	25	0	23	60	117	8	78	14	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	103	222	361	280	49	0	0	0	71	0	0	0	58	0	0	42	309	165	189	51	237	143	0	23	133	106	56	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;__;__	218	0	0	0	246	0	0	0	335	0	121	0	161	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	110
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__;s__	0	10	29	49	111	0	128	73	0	0	382	0	161	41	74	42	152	84	423	0	232	151	29	0	92	96	124	161	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;__	0	0	0	0	157	0	0	0	0	3	137	0	0	0	0	0	10	93	109	0	422	25	0	0	132	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__	0	195	152	0	112	0	113	65	0	0	85	0	0	127	127	60	85	77	0	45	242	323	83	185	312	0	109	0	90
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;s__biprosthecium	0	31	0	110	0	0	165	64	238	131	0	0	0	0	15	0	28	0	0	0	0	65	29	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;__;__	11	0	0	0	0	0	0	0	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Telluria;s__mixta	0	0	0	0	203	0	27	0	0	0	0	0	167	0	0	0	56	0	0	0	0	0	0	0	95	0	24	0	0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;__;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__succinicans	0	261	75	0	127	0	37	0	246	0	294	0	163	0	63	91	71	62	46	174	55	184	642	135	0	0	0	165	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Ferruginibacter;s__alkalilentus	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	206	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter;s__	383	17	84	0	105	0	109	0	345	0	155	0	46	0	0	0	0	0	222	0	180	0	0	0	116	0	65	1245	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidopila;s__rosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__WS3;c__PRR-12;o__LD1-PA13;f__;g__;s__	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptacidiphilus;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Pullulanibacillus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	523
k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__Dolo_23;g__;s__	365	72	415	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	36	214	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;__;__	0	27	121	0	0	0	0	0	67	0	0	0	82	0	17	0	107	226	0	0	0	156	65	12	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__	48	20	0	0	29	0	0	0	0	0	0	0	2	0	39	0	165	70	496	0	0	62	0	90	0	0	0	0	85
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	61	0	0	0	244	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Frankia;s__	0	237	177	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];__;__	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__;s__	332	0	79	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	206	0	0	22	0	60	77	0	0	160	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__	0	0	0	0	78	0	37	0	873	23	66	0	51	0	37	0	0	0	0	0	34	22	0	0	0	86	0	5	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Salinispora;s__	0	0	0	0	0	0	162	0	147	0	0	0	0	0	215	0	102	0	310	0	25	100	37	0	90	0	0	0	46
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__	68	74	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	33	0	0	176	1086	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;__;__;__	178	34	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	78	20	0	447	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Azorhizobium;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__	234	0	102	0	43	0	73	0	220	0	47	0	0	0	0	0	43	103	598	0	80	68	0	32	63	479	73	900	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__psychrolactophilus	0	0	0	0	134	0	0	0	0	0	217	0	23	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;__;__	0	0	0	0	0	0	422	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__TM7;c__TM7-3;__;__;__;__	0	0	0	0	0	0	439	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rubrivivax;__	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	39	37	13	0	0	0	34	0	213	108	164	9	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Enhydrobacter;s__aerosaccus	145	2	36	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	90	0	64	0
k__Bacteria;__;__;__;__;__;__	0	0	0	0	29	0	0	0	401	0	3	0	0	0	84	0	0	27	559	0	0	3	0	0	73	125	0	0	13
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Ferruginibacter;s__lapsinanis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;__	0	34	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0
k__Bacteria;p__TM7;c__TM7-3;o__EW055;f__;g__;s__	0	33	0	0	395	0	0	0	313	0	56	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	558	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	100	58	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Ammoniphilus;s__	0	0	0	0	111	0	128	0	108	0	0	0	66	0	95	0	0	0	0	0	0	0	0	0	0	0	0	60	84
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__alcaligenes	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Denitrobacter;s__	0	72	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	351	186	37	17	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__selenitireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__;__	42	10	0	0	0	0	0	0	179	0	0	0	113	0	0	0	0	0	364	0	0	0	0	0	0	0	0	62	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bosea;s__genosp.	0	17	62	0	0	0	0	0	0	0	0	0	28	0	0	27	0	81	0	284	0	0	0	0	0	0	26	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__	0	150	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	111	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067;f__;g__;s__	242	15	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	38	0	0	0	63	0	0	105	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__	0	38	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	240	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__;s__	861	19	274	0	80	0	197	0	593	0	0	0	70	0	0	0	194	0	90	0	142	6	0	14	387	0	56	401	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b;f__EB1003;g__;s__	112	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	129	0	0	0	0	0	30	0	0	206	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	39	0	0	0	106	0	0	0	0	0	194	0	101	0	64	0	22	0	144	0	0	27	29	0	64	0	89	293	354
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Natronobacillus;s__	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Chitinophaga;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	429	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__giardinii	0	163	9	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	51	0	0	0	0	38	0	112	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__wittichii	0	84	339	0	40	0	0	0	0	0	0	0	42	0	0	11	65	35	0	0	190	5	0	183	349	90	420	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;__	0	44	51	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	308
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__	0	26	70	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	344	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__;s__	0	0	0	0	81	0	0	94	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;__;__;__	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;__;__	0	0	0	0	0	0	181	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;__	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;g__;s__	280	22	0	0	48	0	113	0	105	0	103	0	38	0	0	0	0	0	258	0	75	0	0	0	65	0	18	908	194
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	51	0	5	0	0	0	43	0	240	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__	0	0	0	0	0	0	0	63	0	0	44	0	0	0	21	283	12	0	0	95	100	0	0	7	231	0	75	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae;g__;s__	0	68	0	0	0	0	0	0	0	0	190	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;__;__	0	0	0	0	8	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__vaccae	0	42	71	0	0	0	0	0	0	0	0	0	20	0	0	28	39	0	0	26	0	0	0	33	0	0	30	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__Oryza;s__sativa Indica Group	0	380	0	0	0	0	0	0	0	0	0	0	0	71	0	149	0	0	0	50	0	111	0	63	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;__	0	0	60	155	0	0	0	0	0	0	0	0	0	0	0	56	248	0	0	0	0	0	0	0	148	0	0	0	0
k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__;s__	46	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	354	0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68;f__;g__;s__	32	0	0	0	27	0	53	0	164	0	18	0	29	0	0	0	0	52	128	13	93	0	0	69	19	48	24	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__	95	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	260	0	63	0	0	5	86	0	0	277	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia;s__	0	0	0	0	32	0	0	0	0	0	119	0	0	0	0	0	122	0	0	31	0	131	34	139	0	0	95	0	0
k__Bacteria;p__Chloroflexi;c__TK17;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Candidatus Phytoplasma;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	205	0	0	0	55	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;__;__	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	408	0	0	0	18	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	13	108	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	20	42	0	0	0	51	0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	26	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	21	239	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;s__	0	17	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	18	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;__	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__;s__	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__;s__	316	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	51	0	0	96	0
k__Bacteria;p__TM7;c__;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__	0	29	0	0	130	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	12	0	0	15	234	230	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	28	0	0	0	21	0	44	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;__;__	105	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	53	226
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__;s__	52	0	0	0	54	0	0	0	0	0	122	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	111
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	0	19	97	0	37	0	0	0	0	0	0	0	0	0	0	90	118	63	0	83	71	54	77	195	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__paradoxus	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	48	133	0	0	0	36	0	0	0	0	0	58	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Ellin5290;f__;g__;s__	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	222	113
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Pilimelia;s__	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dokdonella;s__	0	35	47	0	0	0	0	0	0	0	0	0	0	0	0	72	37	131	0	0	0	44	0	22	0	221	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;__	0	58	0	0	70	0	28	0	218	0	101	0	0	0	0	0	0	0	0	0	0	36	18	28	0	65	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Labrys;s__	0	88	190	0	0	0	0	0	0	0	0	0	0	0	0	77	0	56	35	0	148	0	0	53	80	15	117	0	114
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Phycicoccus;s__	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	27	0	0	130	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__;g__;s__	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	34	0	0	104	0
