#NAME	105_BS	A479_R	A479_RS	B065S_R	B065S_RS	B067H_R	B067H_RS	B074S_R	B074S_RS	B076BH_R	B076BH_RS	B118H_R	B118H_RS	B124H_R	B124H_RS	B456_R	B456_RS	GY_R	GY_RS	H424_R	H424_RS	HB_R	HB_RS	K474_R	K474_RS	NHB_R	NHB_RS	XM_BS	ZJ_BS
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__;s__	439	58	286	0	256	0	1218	309	669	0	127	0	40	0	122	29	381	1362	1599	44	3915	26	72	261	738	290	481	707	546
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__;__	3243	129	0	96	24	0	694	236	531	0	31	0	1871	80	0	0	4107	1707	1457	23	1272	16	0	44	52	1355	40	0	452
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__	0	212	99	0	41	0	0	0	0	23	0	0	0	0	37	0	0	17	0	0	64	7758	97	25	84	0	8	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__;__	19	46	0	107	0	161	0	374	1118	0	0	138	0	330	0	0	71	31	27	0	3039	65	25	29	0	2599	54	0	205
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	0	156	427	0	28	0	68	0	87	0	65	200	210	0	0	88	313	1130	0	5496	659	185	0	0	86	0	179	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__;__	0	45	0	0	0	0	0	0	52	0	0	0	0	0	0	0	3669	2112	595	0	3079	29	21	19	32	229	0	0	85
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__	0	311	0	1214	434	463	876	186	3034	0	181	2931	299	11	503	1195	0	0	4389	0	0	0	1965	697	592	895	554	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	45	920	109	0	1107	192	142	1332	3478	1078	1638	0	327	186	694	0	0	0	1923	162	39	1002	5690	556	110	772	417	52	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis;s__thermoflava	0	0	63	0	0	0	941	0	0	0	0	0	0	0	0	192	63	15	109	469	0	64	0	4173	81	0	99	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__	226	41	286	96	69	0	0	0	51	0	8	0	10	0	0	103	0	0	0	0	31	157	36	32	4764	0	0	37	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidocella;s__	0	393	233	1417	1895	143	1304	298	573	280	1707	324	578	654	1624	13	224	112	1221	35	756	29	111	297	773	390	2217	20	125
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__	2159	294	1646	153	346	0	316	235	1213	0	285	0	225	0	51	407	1204	1005	2428	37	1179	1033	88	446	1023	2375	546	5446	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4071	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter;s__	52	21	0	177	635	88	364	149	894	189	1155	171	522	365	634	0	151	99	349	0	79	97	136	21	303	704	2483	0	202
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__;__	49	99	0	120	2115	0	1760	146	836	95	444	135	1029	262	473	0	3	0	788	10	409	0	42	0	641	366	2669	12	227
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;__;__	0	16	0	205	104	0	904	0	334	0	91	40	3944	0	0	0	0	873	135	0	0	0	0	4	0	437	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__stutzeri	0	3571	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	37	0	0	0	153	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;__	152	61	2887	714	0	0	511	0	0	0	0	0	0	0	0	34	259	159	334	11	997	1404	149	50	187	96	0	577	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__	989	271	669	137	268	46	222	149	483	30	418	67	348	37	2049	250	459	170	836	89	419	147	48	516	565	555	705	1127	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__	0	16	0	14	436	0	0	31	573	261	630	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3251
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Gluconacetobacter;__	0	47	0	81	696	541	137	906	0	29	85	146	225	0	218	0	0	0	0	0	0	0	169	26	0	0	36	0	0
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1;f__;g__;s__	341	0	0	0	0	0	104	0	198	0	3132	0	0	0	0	0	451	0	396	0	0	0	0	0	208	0	0	557	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;__	0	0	0	516	72	0	58	0	0	0	0	0	0	0	0	0	69	0	0	40	0	0	0	0	152	0	0	0	3058
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylovirgula;s__ligni	0	23	52	157	74	171	125	535	1193	89	108	0	96	141	36	0	202	399	333	169	329	253	0	0	47	563	208	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__tuberum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	1001	0	46	20	344	0	0	0	59	2729	165	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Rahnella;s__aquatilis	0	0	0	0	135	83	15	53	0	491	492	0	31	111	1112	0	0	0	0	0	0	0	0	0	0	0	241	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__	3206	19	0	0	123	0	0	0	220	0	0	0	0	0	27	26	33	17	410	0	178	45	0	140	35	34	4	1162	137
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;__;__	0	22	2488	0	24	0	182	0	0	0	0	0	0	0	0	78	0	206	37	172	0	13	0	622	0	443	63	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;__	2070	121	532	0	0	0	128	0	275	0	181	0	293	0	0	0	227	0	95	0	692	0	455	122	238	161	280	579	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidisoma;s__	0	136	0	550	1108	93	502	660	0	120	730	37	595	167	1101	0	0	0	0	0	11	32	270	76	109	94	412	0	171
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava	0	86	0	0	228	0	146	253	0	0	410	1502	210	0	279	0	81	0	0	0	0	580	397	64	0	0	488	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;__;__;__;__	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2401	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;__;__	100	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	16	0	0	0	0	2327	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;__	2264	0	0	0	0	0	0	0	201	0	13	0	0	0	0	0	0	0	184	0	252	0	0	0	0	0	67	0	443
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__;__	0	177	527	0	0	68	0	129	570	0	164	0	1175	0	0	347	98	59	358	73	64	684	280	15	120	179	2235	0	49
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__;s__	2230	14	0	0	77	0	0	0	213	0	142	0	98	0	71	0	0	12	120	0	49	0	0	0	113	0	84	132	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__	32	63	138	0	22	60	0	0	684	0	21	0	0	0	0	0	215	0	476	0	113	0	0	60	22	197	30	58	843
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dyella;__	0	976	0	0	0	0	27	0	0	0	0	0	35	0	0	216	226	84	0	432	84	30	0	0	53	0	23	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;__;__	0	8	0	474	0	553	0	0	0	367	0	210	0	0	0	0	0	1861	0	0	0	3	0	270	0	308	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__Woodsholea;s__maritima	0	0	2094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__	41	628	421	0	32	0	48	0	0	0	79	0	45	0	0	380	313	536	415	89	0	172	21	344	378	0	222	56	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;__	29	198	230	1033	455	0	334	269	269	0	146	172	409	0	72	175	618	108	185	90	532	0	39	163	374	77	976	52	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	80	211	565	0	144	0	0	0	0	0	182	0	0	0	84	149	0	0	0	222	0	153	81	864	313	0	752	126	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__;s__	0	31	62	1521	267	560	429	34	125	538	865	0	180	304	201	0	93	314	241	102	914	56	0	28	226	191	96	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter;s__	490	323	150	0	0	0	0	0	84	0	0	0	0	0	0	335	58	0	45	0	0	160	0	1963	190	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__;__	0	0	0	0	129	0	55	0	724	0	49	0	46	0	24	0	0	0	0	0	0	0	0	30	12	0	0	0	1129
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__flexus	563	0	426	0	208	0	0	0	0	0	48	0	48	0	0	0	65	0	0	0	0	0	0	0	203	0	111	124	0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__JG30-KF-AS9;f__;g__;s__	2802	0	35	0	169	0	79	0	195	0	810	0	26	0	8	0	32	0	319	0	76	0	0	7	199	0	24	2099	19
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__;s__	132	95	0	0	267	0	84	0	112	0	225	0	170	0	229	3	0	0	0	0	0	0	140	103	142	0	643	161	404
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Salinispora;__	0	0	0	0	74	0	0	0	171	0	118	0	451	0	147	55	145	0	0	0	51	20	0	61	418	0	210	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__	332	0	263	0	40	0	326	0	394	0	0	0	40	0	0	0	897	40	822	0	612	0	0	17	234	46	320	723	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__;s__	609	151	273	0	1065	0	679	0	798	38	1361	38	934	104	1019	0	517	184	688	39	799	38	212	70	942	65	1178	706	622
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1688
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__veronii	0	123	0	0	27	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	90	0	0	457	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;__	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	16	24	49	1381	54	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__;s__	0	0	29	121	340	91	280	0	304	99	240	103	179	0	167	0	18	0	72	0	43	2	106	0	176	171	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__;__;__	0	32	0	0	14	0	0	21	0	0	22	0	99	165	236	297	0	19	0	0	0	0	19	45	0	81	0	1284	410
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__;s__	1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__	0	129	283	0	137	108	1284	0	0	81	75	219	181	114	180	25	75	0	117	19	52	111	0	21	197	785	168	54	449
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;s__	0	74	118	0	0	0	0	0	0	0	0	0	0	0	0	1314	303	143	0	0	0	0	44	0	0	0	200	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__	426	33	231	0	124	0	0	0	654	0	47	0	268	0	0	0	159	0	414	0	0	0	0	43	332	0	78	365	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Bordetella;__	0	0	0	0	0	0	0	1154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rathayibacter;s__	0	0	0	129	295	0	186	0	0	0	300	0	162	0	268	0	0	0	0	0	0	0	23	0	223	0	71	0	42
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__	90	84	143	0	23	0	28	0	46	0	24	0	0	0	0	51	1072	0	0	0	0	7	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;__	0	0	266	0	0	0	0	0	452	0	0	0	190	0	0	0	168	0	133	0	0	0	0	0	0	0	0	0	750
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__	94	111	0	0	0	0	76	0	259	0	0	0	95	0	0	53	0	75	169	0	302	0	95	66	386	40	136	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Thiomonas;s__cuprina	0	0	0	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	0	347	960	0	334	0	482	0	0	0	155	0	264	0	31	528	223	182	0	0	189	440	286	84	427	0	250	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	993	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;__;__	0	0	0	0	0	0	0	0	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__;__	0	0	29	0	37	0	0	0	0	0	0	0	39	0	116	66	0	0	0	0	0	0	0	0	0	51	0	0	941
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Reyranella;s__massiliensis	88	49	352	0	0	0	0	0	0	0	0	0	0	0	0	24	178	62	188	13	250	11	0	88	145	0	78	45	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__glathei	0	0	0	0	36	0	0	0	0	0	517	0	56	0	101	0	48	0	0	0	73	0	0	0	47	0	87	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__;s__	335	44	371	0	0	0	0	0	0	0	0	0	0	0	0	65	231	55	0	0	155	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Methylibium;s__	95	328	183	0	0	0	0	0	0	0	0	0	0	0	0	0	96	224	0	0	19	91	0	19	91	0	0	31	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;__;__;__	0	33	0	0	0	0	0	0	846	0	0	0	11	0	0	0	0	0	0	267	0	0	0	0	30	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;__;__;__;__	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__amylolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	0	0	0	0	0	36	0	90	0	29	0	0
