#NAME	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	898.0	971.0	701.0	976.0	1669.0	155.0	1093.0	210.0	274.0	474.0	3457.0	369.0	1173.0	382.0	872.0	113.0	957.0	4724.0	26.0	358.0	1036.0	1853.0	167.0	3329.0	993.0	2019.0	2489.0	1058.0	225.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__	9238.0	25.0	0.0	0.0	261.0	0.0	1002.0	0.0	564.0	0.0	328.0	0.0	84.0	0.0	72.0	0.0	334.0	0.0	557.0	0.0	1083.0	14.0	51.0	0.0	277.0	0.0	0.0	4182.0	457.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__	813.0	153.0	130.0	523.0	2066.0	0.0	902.0	146.0	0.0	0.0	756.0	0.0	945.0	177.0	2431.0	0.0	177.0	0.0	35.0	55.0	67.0	160.0	125.0	63.0	1195.0	57.0	182.0	285.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Erwinia	0.0	1065.0	0.0	0.0	71.0	0.0	0.0	97.0	0.0	47.0	0.0	0.0	81.0	141.0	269.0	0.0	0.0	11.0	0.0	24.0	0.0	646.0	5513.0	655.0	0.0	0.0	138.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__	439.0	58.0	286.0	0.0	256.0	0.0	1218.0	309.0	669.0	0.0	127.0	0.0	40.0	0.0	122.0	29.0	381.0	1362.0	1599.0	44.0	3915.0	26.0	72.0	261.0	738.0	290.0	481.0	707.0	546.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__	3243.0	129.0	0.0	96.0	24.0	0.0	694.0	236.0	531.0	0.0	31.0	0.0	1871.0	80.0	0.0	0.0	4107.0	1707.0	1457.0	23.0	1272.0	16.0	0.0	44.0	52.0	1355.0	40.0	0.0	452.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium	0.0	212.0	115.0	0.0	54.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	17.0	0.0	0.0	64.0	7758.0	97.0	25.0	84.0	0.0	8.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__	19.0	46.0	0.0	107.0	0.0	161.0	0.0	374.0	1118.0	0.0	0.0	138.0	0.0	330.0	0.0	0.0	71.0	31.0	27.0	0.0	3039.0	65.0	25.0	29.0	0.0	2599.0	54.0	0.0	205.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium	0.0	178.0	427.0	0.0	28.0	0.0	68.0	0.0	87.0	0.0	65.0	200.0	210.0	0.0	0.0	88.0	313.0	1130.0	0.0	5496.0	659.0	185.0	21.0	0.0	86.0	0.0	179.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3669.0	2112.0	595.0	0.0	3079.0	29.0	21.0	19.0	32.0	229.0	0.0	0.0	85.0
