#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
c8bfa5d8b46297ba06c9a62892fbab49	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	NA	NA
8ee2f281a26bb74373d7799d3ec6dc98	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	NA	NA
059b888ba85916a709c1ddc738587b29	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__melaninogenica
e3fbc57585705fa900ee522fb0e9a232	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
0360f772e1ac722c99132b885104da77	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	NA	NA
9b852c114d94f7300d7ed4494af0fda6	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
95484b359c979858279ce24bd610171a	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	s__
3ce6b18dd27c0d99dce7b838610d6142	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
49079e3852be1fd22d5240094628eeba	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Procabacteriales	f__Procabacteriaceae	g__	s__
b8db78d1e86f784501151083c7de527e	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__
9564c27e4e37a81838fe5a7fc9b07c01	k__Bacteria	p__TM7	c__SC3	o__	f__	g__	s__
ca12e275958c4f921cee169852c3c4c8	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__0319-6A21	g__	s__
47ce38c11173727a77033130aa63f7aa	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__	s__
